id,species,height,dbh,lat,lng,condition
10845,Deciduous,18,12.7,52.33046,4.983175,excellent
10846,Deciduous,9,7.62,52.330481,4.983171,fair
10847,Deciduous,15,10.16,52.330467,4.983134,good
10848,Deciduous,18,12.7,52.330471,4.983112,excellent
10850,Deciduous,9,7.62,52.327888,4.987413,fair
10853,Deciduous,15,10.16,52.327821,4.987317,good
10900,Deciduous,24,17.78,52.327711,4.987402,excellent
10906,Deciduous,9,7.62,52.327582,4.987398,fair
10908,Deciduous,18,12.7,52.327559,4.987312,good
10965,Deciduous,9,7.62,52.327334,4.987071,excellent
10967,Deciduous,9,7.62,52.327315,4.987156,fair
10972,Deciduous,15,10.16,52.327242,4.987105,good
10975,Deciduous,15,10.16,52.327219,4.987124,excellent
11029,Deciduous,18,12.7,52.327295,4.987417,fair
11070,Deciduous,24,17.78,52.329155,4.983508,good
11088,Deciduous,15,10.16,52.327467,4.987454,excellent
11129,Deciduous,9,7.62,52.329224,4.983401,fair
11141,Deciduous,15,10.16,52.329292,4.983365,good
11142,Deciduous,9,7.62,52.329248,4.983277,excellent
11143,Deciduous,15,10.16,52.329343,4.983373,fair
11158,Deciduous,18,12.7,52.327953,4.987342,good
11197,Deciduous,9,7.62,52.329352,4.983224,excellent
11204,Deciduous,15,10.16,52.329477,4.983076,fair
11301,Deciduous,9,7.62,52.334614,4.850917,good
11326,Deciduous,9,7.62,52.331813,4.859771,excellent
11683,Deciduous,9,7.62,52.292688,4.975432,fair
11777,Deciduous,9,7.62,52.334627,4.850879,good
12021,Deciduous,9,7.62,52.335263,4.851343,excellent
12132,Deciduous,9,7.62,52.352119,4.898396,fair
12632,Deciduous,9,7.62,52.352197,4.898593,good
12732,Deciduous,6,7.62,52.332782,4.847937,excellent
12863,Deciduous,6,2.54,52.339269,4.888278,fair
13029,Deciduous,9,7.62,52.303604,4.971885,good
13030,Deciduous,18,12.7,52.303698,4.972028,excellent
13048,Deciduous,9,7.62,52.310054,4.981435,fair
13053,Deciduous,18,12.7,52.30997,4.981719,good
13077,Deciduous,9,7.62,52.296184,4.980099,excellent
13078,Deciduous,15,10.16,52.29619,4.979945,fair
13079,Deciduous,15,10.16,52.296177,4.979878,good
13080,Deciduous,9,7.62,52.296172,4.979646,excellent
13102,Deciduous,15,10.16,52.309602,4.98194,fair
13148,Deciduous,18,12.7,52.305605,4.970375,good
13344,Deciduous,18,12.7,52.307875,4.97663,excellent
13347,Deciduous,15,10.16,52.307529,4.977131,fair
13349,Deciduous,24,17.78,52.307424,4.977206,good
13350,Deciduous,24,17.78,52.307392,4.977436,excellent
13351,Deciduous,24,17.78,52.307208,4.977524,fair
13352,Deciduous,24,17.78,52.307265,4.977421,good
13354,Deciduous,24,17.78,52.307253,4.977354,excellent
13355,Deciduous,24,17.78,52.307229,4.977319,fair
13357,Deciduous,24,17.78,52.307151,4.977037,good
13358,Deciduous,24,17.78,52.307138,4.977233,excellent
13376,Deciduous,9,7.62,52.297998,4.982542,fair
13407,Deciduous,18,12.7,52.307033,4.97725,good
13413,Deciduous,18,12.7,52.306639,4.97676,excellent
13414,Deciduous,18,12.7,52.30673,4.977574,fair
13416,Deciduous,9,7.62,52.306846,4.977333,good
13418,Deciduous,15,10.16,52.306979,4.97771,excellent
13419,Deciduous,18,12.7,52.306933,4.977685,fair
13420,Deciduous,18,12.7,52.306844,4.977714,good
13421,Deciduous,18,12.7,52.306762,4.977992,excellent
13426,Deciduous,9,7.62,52.305875,5.013472,fair
