id,species,height,dbh,lat,lng,condition
171,Deciduous,15,10.16,52.365783,4.896,good
172,Deciduous,6,2.54,52.36186,4.888836,fair
173,Deciduous,6,2.54,52.361867,4.888777,good
174,Deciduous,6,2.54,52.361872,4.888731,excellent
175,Deciduous,6,2.54,52.361782,4.888812,fair
176,Deciduous,6,2.54,52.361789,4.88876,good
177,Deciduous,6,2.54,52.361796,4.888701,excellent
178,Deciduous,6,2.54,52.361803,4.888864,fair
179,Deciduous,6,2.54,52.361831,4.888876,excellent
180,Deciduous,6,2.54,52.361854,4.888686,fair
181,Deciduous,6,2.54,52.361829,4.888677,good
182,Deciduous,15,10.16,52.365571,4.895712,excellent
183,Deciduous,24,17.78,52.360134,4.898374,good
184,Deciduous,24,17.78,52.365492,4.895713,excellent
185,Deciduous,24,17.78,52.365398,4.895726,fair
186,Deciduous,15,10.16,52.365629,4.895886,good
187,Deciduous,24,17.78,52.365549,4.895893,excellent
188,Deciduous,24,17.78,52.365463,4.895906,fair
189,Deciduous,24,17.78,52.365376,4.895912,good
190,Deciduous,24,17.78,52.36527,4.89593,fair
191,Deciduous,24,17.78,52.365305,4.895734,fair
192,Deciduous,24,17.78,52.365167,4.895946,good
193,Deciduous,15,10.16,52.359861,4.895375,fair
194,Deciduous,15,10.16,52.35985,4.895551,good
195,Deciduous,24,17.78,52.35984,4.895737,excellent
196,Deciduous,18,12.7,52.359833,4.895918,fair
197,Deciduous,24,17.78,52.365203,4.895741,good
198,Deciduous,24,17.78,52.365072,4.895955,excellent
199,Deciduous,18,12.7,52.359333,4.898344,good
200,Deciduous,24,17.78,52.36508,4.895745,excellent
201,Deciduous,15,10.16,52.359222,4.897409,fair
202,Deciduous,15,10.16,52.359226,4.89755,good
203,Deciduous,18,12.7,52.359259,4.897824,excellent
204,Deciduous,15,10.16,52.359281,4.897992,fair
205,Deciduous,15,10.16,52.366193,4.896157,fair
206,Deciduous,15,10.16,52.366135,4.896233,good
207,Deciduous,9,7.62,52.366193,4.896316,excellent
208,Deciduous,15,10.16,52.366137,4.896392,fair
209,Deciduous,15,10.16,52.366193,4.8965,good
210,Deciduous,15,10.16,52.366137,4.896566,excellent
211,Deciduous,15,10.16,52.366193,4.896677,fair
212,Deciduous,15,10.16,52.366137,4.89675,good
213,Deciduous,15,10.16,52.366193,4.896861,excellent
214,Deciduous,15,10.16,52.366136,4.896938,fair
215,Deciduous,15,10.16,52.366195,4.897052,good
216,Deciduous,18,12.7,52.366124,4.897246,excellent
217,Deciduous,15,10.16,52.366145,4.895718,fair
218,Deciduous,9,7.62,52.366192,4.895943,good
219,Deciduous,15,10.16,52.366136,4.896049,excellent
220,Deciduous,15,10.16,52.366018,4.895728,fair
221,Deciduous,15,10.16,52.366073,4.897382,good
222,Deciduous,15,10.16,52.365915,4.895735,good
223,Deciduous,18,12.7,52.365859,4.89664,excellent
224,Deciduous,15,10.16,52.36588,4.896788,fair
225,Deciduous,15,10.16,52.365898,4.896948,good
